open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1683417600000,28901.44739571,29184.65042499,28804.85008729,28928.81103157,0,1683439199999,0,21600,0,0,0
1683439200000,28928.81103157,28997.86714286,28766.02768451,28881.16742629,0,1683460799999,0,21600,0,0,0
1683460800000,28881.16742629,29131.90285714,28860.00571429,28944.03806460,0,1683482399999,0,21600,0,0,0
1683482400000,28944.03806460,28996.54571429,28437.73537700,28470.58773600,0,1683503999999,0,21600,0,0,0
